"","x"
"1","Acantharia"
"2","Acanthoica_quattrospina"
"3","Akashiwo"
"4","Alexandrium_catenella"
"5","Amoeba"
"6","Amphidinium"
"7","Amylax"
"8","Apedinella"
"9","Asterionellopsis_glacialis"
"10","Bacillaria"
"11","Bacillariophyceae"
"12","Bacillariophyceae_morphotype1"
"13","Bacteriastrum"
"14","Balanion"
"15","Biddulphia"
"16","Calciopappus"
"17","Calciosolenia_brasiliensis"
"18","Cerataulina_pelagica"
"19","Ciliophora"
"20","Corethron_hystrix"
"21","Corymbellus"
"22","Coscinodiscus"
"23","Cryptophyta"
"24","Dactyliosolen_blavyanus"
"25","Dactyliosolen_fragilissimus"
"26","Delphineis"
"27","Dictyocha"
"28","Dictyocysta"
"29","Didinium"
"30","Dinobryon"
"31","Ditylum_brightwellii"
"32","Ephemera"
"33","Eucampia"
"34","Eucampia_morphytype1"
"35","Euglena"
"36","Euplotes"
"37","Euplotes_morphotype1"
"38","Eutintinnus"
"39","Favella"
"40","Gonyaulax"
"41","Guinardia_flaccida"
"42","Guinardia_striata"
"43","Gyrodinium"
"44","Hemiaulus"
"45","Hemiaulus_membranaceus"
"46","Heterocapsa_rotundata"
"47","Karenia"
"48","Katodinium_or_Torodinium"
"49","Kryptoperidinium_triquetrum"
"50","Laboea_strobila"
"51","Lauderia_annulata"
"52","Leegaardiella_ovalis"
"53","Leptocylindrus"
"54","Leptocylindrus_mediterraneus"
"55","Licmophora"
"56","Margalefidinium"
"57","Mesodinium"
"58","Nanoneis"
"59","Odontella"
"60","Ophiaster"
"61","Oxytoxum"
"62","Paralia_sulcata"
"63","Paratontonia_gracillima"
"64","Parvicorbicula_socialis"
"65","Pelagostrobilidium"
"66","Phaeocystis"
"67","Pleuronema"
"68","Pleurosigma"
"69","Polykrikos"
"70","Prorocentrum"
"71","Prorocentrum_dentatum"
"72","Prorocentrum_micans"
"73","Prorocentrum_triestinum"
"74","Proterythropsis"
"75","Protoperidinium"
"76","Pseudochattonella_farcimen"
"77","Pyramimonas"
"78","Pyramimonas_longicauda"
"79","Pyramimonas_morphotype1"
"80","Rhabdolithes"
"81","Rhizosolenia"
"82","Skeletonema"
"83","Stenosemella_morphotype1"
"84","Stenosemella_pacifica"
"85","Stephanopyxis"
"86","Syracosphaera_pulchra"
"87","Thalassiosira"
"88","Thalassiosira_sp_aff_mala"
"89","Tiarina_fusus"
"90","Tintinnidium_mucicola"
"91","Tontonia_appendiculariformis"
"92","Trichodesmium"
"93","Tripos"
"94","Tripos_furca"
"95","Tripos_fusus"
"96","Tripos_lineatus"
"97","Vicicitus_globosus"
"98","Warnowia"
"99","flagellate"
"100","flagellate_morphotype1"
"101","flagellate_morphotype3"
"102","nanoplankton_mix"
"103","pennate"
"104","pennate_morphotype1"
"105","unknown2"
"106","Guinardia_delicatula_merged"
"107","Cylindrotheca_merged"
"108","Chaetoceros_merged"
"109","Chrysochromulina_merged"
"110","coccolithophorid_merged"
"111","Pseudo_nitzschia_merged"
"112","Thalassionema_merged"
"113","Dinophyceae_merged"
"114","Tintinnina_merged"
"115","Strombidium_merged"
"116","Dinophysis_merged"
"117","Synechococcus"
"118","Pico_eukaryotes"
"119","protist_tricho"
"120","metazoan"
"121","Diatom_noDetritus"
"122","Dinoflagellate"
"123","Ciliate"
"124","Other_phyto"
"125","NanoFlagCocco"
"126","NanoFlagCocco_gt5"
"127","miscProtist_gt5"
